Latitude, Longitude
37.7682746974, -122.4208759979
37.7729734023, -122.4152714999
37.7726360977, -122.4148485993
37.7974500013, -122.4093833023
37.7760435984, -122.4225841013
37.7766097010, -122.4228390006
37.7807895997, -122.4321317987
37.7718951990, -122.4142126978
37.7745614991, -122.4042347015
37.7990071018, -122.4081599020
37.7890793019, -122.4338065979
37.7890312054, -122.4181710184
37.7888131988, -122.4198892021
37.7859185980, -122.4341598001
37.7994979014, -122.4378878975
37.7909078979, -122.4187152998
37.7841206015, -122.4182124023
37.7841113982, -122.4182847996
37.7721414984, -122.4296835006
37.7816164018, -122.4198247005
37.7943017975, -122.4056782999
37.7844044016, -122.4178213977
37.7525950008, -122.4152345021
37.7811897014, -122.4197242015
37.7934733973, -122.4050118995
37.7933870972, -122.4056890008
37.7643324022, -122.4219388180
37.7641635024, -122.4217058008
37.7628373009, -122.4215787982
37.7824279991, -122.4157389027
37.7808169973, -122.4169404988
37.7388326981, -122.4682225024
37.7611361992, -122.4214158987
37.7607299004, -122.4215938018
37.7593913999, -122.4212488026
37.7814086982, -122.4189179015
37.7837946013, -122.4207723026
37.7592194983, -122.4214492028
37.7590601024, -122.4214338974
37.7572325011, -122.4212589000
37.7824968983, -122.4168718007
37.7837083013, -122.3942516983
37.7560450983, -122.4209284016
37.7552044996, -122.4208479018
37.7827884992, -122.4212299992
37.7952958018, -122.4055867975
37.7926840008, -122.4060283002
37.7875462015, -122.4147987996
37.7873594024, -122.4152043999
37.7873308984, -122.4154309013
37.7826662016, -122.4221906995
37.7798804984, -122.4030617994
37.7792830978, -122.4023119991
37.8010865011, -122.4076219012
37.7761496254, -122.4206881355
37.7406169985, -122.4653398988
37.7395295025, -122.4664926005
37.7398800001, -122.4672316999
37.8009231993, -122.4092164018
37.7933317990, -122.4078382996
37.7944192001, -122.4079021976
37.7426550024, -122.4827989002
37.7428247974, -122.4826912989
37.7427920018, -122.4834369977
37.7771697015, -122.4126507022
37.7754452982, -122.4107946024
37.7751383976, -122.4101089013
37.7836367981, -122.4208051988
37.7839594007, -122.4211963990
37.7948460010, -122.4085237996
37.7829070025, -122.4030039978
37.7826299024, -122.4033547022
37.7840815977, -122.4119585973
37.7840441977, -122.4122535006
37.7889250972, -122.4351788999
37.7890668017, -122.4347675999
37.7822934975, -122.4661589002
37.7617523026, -122.4346546007
37.7618110989, -122.4346623008
37.7250437018, -122.4351111015
37.7799358972, -122.4776864981
37.7638539978, -122.4785221012
37.7635511988, -122.4659906977
37.7617571977, -122.4344419015
37.7612307024, -122.4357922987
37.7612278023, -122.4358236973
37.7249144026, -122.4352205021
37.7636672993, -122.4657167995
37.7635612012, -122.4636193008
37.8001492982, -122.4392865018
37.8001960021, -122.4390775019
37.8001798027, -122.4391992015
37.7316419025, -122.4724468978
37.7999989995, -122.4390418005
37.7666621980, -122.4192383976
37.7667485987, -122.4193592982
37.7634005983, -122.4209945013
37.7619133022, -122.4189894998
37.7603272003, -122.4184599982
37.7603100006, -122.4187453014
37.7554054976, -122.4183551014
37.7601763987, -122.4209572018
37.7600687024, -122.4211901014
37.7586239976, -122.4184186977
37.7586649013, -122.4192922988
37.7585565009, -122.4195365028
37.7554780011, -122.4189803020
37.7552811996, -122.4204207991
37.7556392018, -122.4199602024
37.7538218991, -122.4180591979
37.7567505025, -122.4200666023
37.7770441015, -122.4222075974
37.7908180998, -122.4328735021
37.8008069982, -122.4368012005
37.7831934010, -122.3980395977
37.7828563982, -122.3976189994
37.7822773986, -122.3968862982
37.7816171002, -122.3963626024
37.7782580973, -122.3921616987
37.7967693013, -122.4004003999
37.7875092988, -122.4098779016
37.7874464010, -122.4099994001
37.7884779003, -122.3900471010
37.7816286002, -122.3956084994
37.7836662018, -122.3929984027
37.7810468011, -122.3901254998
37.7868507997, -122.4050828998
37.7845384003, -122.3975664002
37.7840466005, -122.3971261994
37.7792793986, -122.3920578022
37.7898378027, -122.4107858014
37.7898126011, -122.4109874980
37.7882558973, -122.4100199022
37.7883163978, -122.4100324024
37.7884496980, -122.4016297010
37.7873499979, -122.4003047009
37.7895493981, -122.4104191993
37.7882069022, -122.4095667989
37.8068029982, -122.4123449025
37.7829049014, -122.3967683983
37.7792519004, -122.3978353978
37.7788859018, -122.3973757007
37.7788083021, -122.3972782974
37.7255002026, -122.4340622013
37.7249552001, -122.4347102006
37.7883767017, -122.3972537164
37.7778623988, -122.3957848993
37.7229189005, -122.4360165985
37.7228042026, -122.4361034014
37.7888857973, -122.4117565990
37.7890526977, -122.4120065027
37.7864862987, -122.3992276990
37.7784611014, -122.3962015972
37.7783668999, -122.3935151023
37.7206409004, -122.4377391019
37.7512544998, -122.4184374006
37.7775640980, -122.3945359007
37.7830018018, -122.3933664017
37.7828648024, -122.3931952991
37.7195396022, -122.4388076996
37.7697031067, -122.4198733158
37.7694600036, -122.4198998194
37.7692718019, -122.4199133143
37.7487543010, -122.4180168022
37.7874220991, -122.3984658008
37.7873291996, -122.3985838012
37.7527812020, -122.4084560012
37.7527718981, -122.4086095017
37.7527814981, -122.4102758017
37.7849252977, -122.4331048985
37.7810956006, -122.4595804976
37.7692960993, -122.4520247986
37.7697288123, -122.4469452703
37.7289649014, -122.4038247985
37.7313478988, -122.3920460005
37.7842462015, -122.4321939980
37.7978997127, -122.4296054819
37.7868644007, -122.4200644006
37.7866253992, -122.4208900013
37.7966879019, -122.4100227018
37.7969695003, -122.4102558975
37.7782686976, -122.4165845976
37.7977378973, -122.4298989994
37.7975097978, -122.4316927993
37.7784636998, -122.4166221988
37.7932365023, -122.4069190004
37.7978408997, -122.4075485987
37.7977273975, -122.4084617008
37.7804108997, -122.4182884988
37.7788723008, -122.4198420008
37.7792177972, -122.4202377998
37.7883671028, -122.4459923987
37.7881676023, -122.4475590994
37.7879554004, -122.4483792016
37.7636180975, -122.4776526017
37.7636077990, -122.4778865015
37.7281514992, -122.4038914011
37.7965506007, -122.4027601012
37.7635336974, -122.4795696994
37.7633758996, -122.4796565974
37.7875261017, -122.4517494028
37.7862086006, -122.4177344997
37.7317656026, -122.4736287014
37.7324464981, -122.4747234003
37.7207582974, -122.4756807980
37.7967274980, -122.4079048016
37.7822235980, -122.4038688985
37.7797694997, -122.4026172009
37.7796131995, -122.4024210979
37.7964072981, -122.4047220980
37.7783178993, -122.4119317026
37.7806513988, -122.4084563979
37.7802871996, -122.4079996009
37.7836303999, -122.4154681002
37.7849473980, -122.4126444996
37.7974298009, -122.4058888980
37.7953418017, -122.4065556002
37.7955659003, -122.4066013989
37.7813589991, -122.4052500014
37.7465552975, -122.4200198983
37.7717629996, -122.4224337020
37.7799129979, -122.4067929980
37.7793829990, -122.4077515022
37.7815178026, -122.4121711009
37.7810695999, -122.4661915002
37.7889214986, -122.4190397018
37.7886528977, -122.4200824999
37.7439452008, -122.4217352995
37.7429315996, -122.4268105977
37.7705401973, -122.4225376991
37.7690853000, -122.4221815017
37.7689382982, -122.4223841985
37.7780664981, -122.4091295988
37.7844203998, -122.4126139001
37.7852416978, -122.4127801021
37.7976527986, -122.3995656014
37.7801528991, -122.4096112006
37.7817258974, -122.4137552024
